ID	AT	BBP1	BBP2	BBP3	BBP4	e0	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16	e17	e18	e19	e20	e21	e22	e23	e24	e25	e26	e27	e28	e29	e30	e31	e32	e33	e34	e35	e36	e37	e38	e39	e40	e41	e42	e43	e44	e45	e46	e47	e48	e49	e50	e51	e52	e53	e54	e55	e56	e57	e58	e59	e60	e61	e62	e63	e64	e65	e66	e67	e68	e69	e70	e71	e72	e73	e74	e75	e76	e77	e78	e79	e80	e81	e82	e83
r019	1241.02	0.55%	0.74%	1.08%	1.49%	5	5	6	6	6	5	6	7	6	6	5	5	7	6	6	6	5	6	7	6	5	5	5	7	7	5	6	5	7	5	6	5	7	6	7	4	6	5	7	5	6	6	6	6	8	5	5	6	6	5	4	6	8	7	5	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	5	6	6	6	6	6	6
r020	1059.84	1.69%	2.12%	2.85%	3.47%	5	6	5	8	5	5	5	8	8	5	5	6	8	5	5	5	5	6	6	6	7	4	7	6	6	7	5	4	7	7	5	6	7	5	6	6	5	7	6	6	8	4	6	8	4	6	6	4	5	7	6	6	4	6	6	6	5	6	5	5	8	6	6	6	5	6	6	6	8	4	5	4	5	6	6	5	8	4	7	5	7	8	6	4
r021	1069.31	1.37%	1.86%	2.39%	2.75%	5	7	7	6	5	5	7	5	6	7	5	7	5	7	5	5	5	6	8	6	6	5	6	6	8	6	4	5	6	7	5	7	6	5	7	6	5	6	7	7	6	6	5	6	6	6	6	6	6	7	6	5	6	6	6	7	5	6	6	6	6	6	6	6	6	6	6	7	5	6	4	6	8	6	6	5	5	6	4	8	4	6	6	6
r022	1111.03	1.34%	1.57%	2.08%	2.59%	5	5	7	5	6	5	7	6	5	8	5	5	6	8	5	6	5	7	6	7	7	6	5	5	6	7	5	6	4	5	7	4	4	7	6	7	5	5	6	4	6	6	8	6	4	6	6	6	6	5	7	8	4	5	6	8	5	6	6	5	7	7	6	5	5	7	6	8	6	4	5	8	5	6	6	5	6	8	5	5	5	7	5	4
r023	1117.72	1.10%	1.58%	2.02%	2.74%	6	6	7	6	5	6	7	5	6	4	8	6	5	4	8	5	8	5	6	5	6	6	6	7	6	6	6	6	7	5	5	5	7	5	4	8	8	6	4	5	8	7	4	8	5	5	4	7	5	5	8	4	5	7	5	6	6	4	5	7	8	7	6	5	7	7	4	6	8	4	6	5	7	6	4	6	8	5	5	7	5	8	5	4
r024	1286.73	0.35%	0.53%	0.82%	1.10%	6	6	7	5	6	6	7	5	5	5	6	6	5	5	8	6	6	6	6	6	6	8	5	5	6	6	5	8	5	5	6	6	5	6	5	7	8	5	5	6	7	5	6	7	6	5	6	5	7	5	7	6	6	5	5	6	6	6	7	4	7	7	5	5	4	7	7	6	6	6	5	7	6	5	7	6	6	7	5	6	5	7	5	6
r025	1168.93	0.82%	1.34%	2.01%	2.91%	6	6	8	4	6	6	8	4	4	8	6	6	4	8	6	6	6	6	4	6	7	6	7	4	4	7	7	6	5	7	8	4	5	8	5	5	6	7	5	4	6	7	7	6	4	7	7	7	5	7	5	7	4	4	7	4	7	7	5	6	6	6	7	5	6	6	5	4	7	7	7	4	6	7	5	7	7	4	6	6	6	6	5	7
r026	1108.26	1.20%	1.65%	2.15%	2.74%	5	5	8	5	5	5	8	5	5	7	6	5	5	7	7	5	6	7	6	7	5	5	7	6	6	5	7	5	7	6	6	6	7	6	4	6	7	7	4	6	6	6	6	6	5	7	6	6	6	6	6	6	5	6	7	6	5	6	6	4	8	6	6	6	4	6	6	6	8	4	7	4	6	6	6	5	8	4	6	6	6	8	6	4
r027	1142.29	1.08%	1.57%	2.21%	2.98%	7	5	5	7	6	7	5	6	7	6	5	5	6	6	6	6	5	4	6	4	7	7	6	6	6	7	5	7	6	4	6	6	6	6	5	7	6	6	5	6	6	6	6	6	7	5	6	6	6	4	7	6	7	6	5	5	8	6	6	7	5	6	6	6	7	6	5	5	6	7	5	5	7	6	5	8	6	5	5	7	5	5	6	7
r028	1141.14	1.09%	1.27%	1.82%	2.09%	5	6	6	6	6	5	6	7	6	6	5	6	7	6	5	6	5	8	5	8	5	6	5	6	5	5	7	6	5	6	5	5	5	5	7	7	5	5	7	5	7	5	7	7	4	7	6	5	7	6	7	7	4	6	7	5	5	6	7	6	5	6	5	7	6	6	6	5	5	6	7	6	4	5	6	5	5	6	8	4	8	5	7	6
r029	1057.11	1.72%	2.11%	2.80%	3.60%	5	7	5	8	5	5	5	6	8	6	4	7	6	6	5	5	4	5	6	5	7	6	7	5	6	7	5	6	6	6	5	6	6	5	6	7	5	7	6	6	7	5	6	7	5	7	5	5	7	6	7	6	5	5	7	6	6	5	7	6	6	7	6	5	6	7	5	6	8	4	5	5	7	6	5	6	8	5	5	7	5	6	5	4
r030	1206.57	0.60%	0.96%	1.44%	1.98%	6	6	6	7	5	6	6	5	7	6	5	6	5	6	7	5	5	7	7	7	7	6	5	5	7	7	4	6	6	6	6	6	6	6	5	6	7	5	5	6	7	4	6	7	6	6	5	4	8	6	6	6	6	5	6	4	8	5	8	5	5	6	5	7	5	6	7	4	7	6	4	4	7	5	7	8	7	4	5	7	5	5	7	6
r031	1189.71	0.69%	1.10%	1.66%	2.38%	6	6	6	6	6	6	6	5	6	7	5	6	5	7	6	6	5	6	7	6	6	5	7	6	7	6	5	5	6	7	6	6	6	6	5	6	6	7	5	6	6	6	5	6	6	6	6	6	6	7	6	5	6	6	6	5	6	6	6	8	4	5	7	6	8	5	5	5	6	7	5	7	6	7	5	6	6	7	5	6	5	4	6	7
r032	880.64	3.80%	4.68%	5.74%	6.52%	5	7	5	5	8	5	5	8	5	5	7	7	8	5	4	8	7	5	4	5	6	6	7	6	4	6	6	6	5	6	6	6	5	6	6	7	4	7	6	6	7	6	5	7	6	5	6	6	6	6	7	5	6	6	5	6	6	6	6	6	6	4	7	7	6	4	5	6	8	4	6	5	6	7	5	6	8	5	5	6	5	6	7	4
r033	1057.45	1.65%	2.01%	2.63%	3.03%	6	6	6	6	4	6	6	6	6	6	6	6	6	6	5	4	6	5	7	5	4	8	5	8	7	4	7	8	4	6	5	7	4	5	7	7	5	5	7	7	6	7	4	6	7	4	7	7	5	6	7	4	7	8	4	5	7	7	5	6	6	6	7	5	6	6	5	5	6	7	7	4	7	7	5	7	6	4	5	7	5	6	5	7
r034	1186.63	0.79%	1.09%	1.69%	2.43%	6	6	5	7	6	6	5	6	7	6	5	6	6	6	6	6	5	7	6	7	7	5	5	6	6	7	5	5	7	6	4	8	7	4	7	5	6	5	7	8	7	4	5	7	8	4	5	4	7	6	5	5	8	6	4	8	6	5	7	7	5	5	5	8	7	5	6	8	5	4	5	7	6	5	6	6	5	7	6	6	6	5	8	4
r035	1076.23	1.45%	1.86%	2.58%	3.12%	5	6	6	6	6	5	6	7	6	6	6	6	7	6	5	6	6	5	6	5	5	7	7	6	6	5	7	7	5	4	6	5	5	6	5	8	5	7	5	5	6	6	7	6	5	7	5	6	5	4	8	7	5	6	7	6	5	5	5	7	7	4	6	6	7	4	6	6	7	5	7	6	5	6	6	5	7	6	6	5	6	7	6	5
r036	926.45	2.67%	3.06%	3.55%	4.19%	4	8	7	6	5	4	7	6	6	6	6	8	6	6	4	5	6	6	7	6	5	7	6	6	7	5	4	7	7	4	5	6	7	5	7	5	4	6	7	6	6	5	7	6	6	6	6	5	7	4	5	7	6	6	6	6	5	6	7	5	6	6	6	6	5	6	6	6	6	6	4	7	7	6	6	5	6	7	5	7	5	6	6	6
r037	1214.06	0.64%	0.88%	1.32%	1.74%	8	4	5	7	5	8	5	5	7	4	7	4	5	4	6	5	7	5	7	5	5	6	5	8	7	5	6	6	5	6	5	6	5	5	7	7	6	5	7	6	8	6	4	8	7	4	5	6	6	6	7	4	7	8	4	5	6	5	6	6	7	7	6	5	6	7	5	5	7	6	6	6	6	6	5	6	7	6	5	6	5	7	5	6
r038	1185.17	0.79%	1.12%	1.65%	2.15%	6	5	7	5	6	6	7	5	5	6	6	5	5	6	8	6	6	7	5	7	5	4	5	8	5	5	6	4	8	6	6	6	8	6	5	4	8	5	5	6	6	6	6	6	8	6	4	6	5	6	4	6	8	8	6	5	5	4	5	8	7	6	6	6	8	6	4	5	7	4	6	6	6	6	4	5	7	6	6	6	6	7	6	4
r039	1230.04	0.46%	0.74%	1.19%	1.79%	6	6	5	5	8	6	5	6	5	6	5	6	6	6	6	8	5	7	4	7	5	6	6	6	4	5	8	6	6	5	6	6	6	6	6	6	6	6	6	6	6	5	7	6	6	6	6	5	7	5	6	7	6	6	6	5	7	6	7	4	7	8	6	4	4	8	6	5	6	7	8	5	5	6	6	7	6	5	6	5	6	7	4	7
r040	1208.33	0.63%	0.93%	1.46%	1.87%	7	5	5	5	8	7	5	6	5	5	6	5	6	5	6	8	6	6	4	6	6	6	5	7	4	6	6	6	5	6	7	5	5	7	6	6	6	5	6	5	5	7	5	5	6	7	6	7	5	6	6	5	6	7	7	4	5	6	5	6	5	6	6	6	6	6	6	4	5	7	6	6	6	6	6	5	5	6	6	6	6	5	6	7
r041	1329.38	0.11%	0.19%	0.43%	0.75%	6	5	6	5	7	6	6	6	5	5	6	5	6	5	8	7	6	6	5	6	5	5	4	8	5	5	8	5	7	6	6	5	7	6	6	5	8	4	6	5	7	6	6	7	5	5	7	6	6	6	5	6	5	8	5	4	7	7	6	5	5	6	5	6	5	6	7	4	7	7	8	5	5	5	7	7	7	5	5	5	5	5	6	7
r042	1300.00	0.19%	0.26%	0.62%	1.00%	6	6	7	6	5	6	7	5	6	6	6	6	5	6	7	5	6	7	6	7	6	5	5	7	6	6	4	5	6	7	6	6	6	6	6	5	7	5	6	6	4	5	4	4	8	6	6	5	7	7	5	4	8	7	6	4	5	6	7	6	5	6	7	5	6	6	5	4	6	8	4	8	6	7	5	5	6	8	5	6	5	5	5	8
r043	1176.58	0.84%	1.25%	1.75%	2.54%	6	5	5	7	6	6	5	7	7	6	4	5	7	6	6	6	4	7	7	7	5	5	7	6	7	5	6	5	8	4	5	6	8	5	5	6	6	7	5	6	5	6	7	5	7	5	7	6	6	4	6	7	7	6	5	7	6	7	6	6	5	6	5	7	6	6	6	7	6	5	6	7	5	5	6	6	6	7	5	5	5	5	7	5
r044	1031.71	1.96%	2.53%	3.39%	3.98%	6	5	6	5	7	6	6	6	5	7	6	5	6	7	5	7	6	4	6	4	5	7	8	6	6	5	6	7	7	4	6	6	7	6	5	6	5	8	5	6	6	6	6	6	6	7	5	6	6	4	6	6	6	6	7	5	5	5	6	6	6	7	6	5	6	7	5	5	6	7	6	6	5	6	5	5	6	6	7	5	7	6	5	7
r045	1206.32	0.61%	0.93%	1.42%	2.06%	6	6	6	7	5	6	6	5	7	7	4	6	5	7	6	5	4	6	6	6	6	5	6	7	6	6	6	5	7	4	7	5	7	7	5	5	6	6	5	5	6	5	8	6	7	7	4	5	7	4	5	8	7	7	7	4	6	4	7	6	7	7	7	4	6	7	5	4	7	7	6	6	6	7	5	6	7	6	5	6	5	7	4	7
r046	1102.55	1.25%	1.78%	2.48%	3.14%	6	6	6	6	6	6	6	5	6	7	4	6	5	7	6	6	4	7	7	7	6	6	5	6	7	6	5	6	7	5	6	6	7	6	4	6	6	5	4	6	6	6	6	6	7	4	6	6	6	5	6	6	7	6	4	7	5	6	6	5	6	6	5	6	5	6	7	7	5	6	5	7	6	5	7	5	5	7	6	6	6	6	6	6
r047	1227.96	0.49%	0.76%	1.17%	1.68%	7	5	6	6	4	7	6	5	6	4	8	5	5	4	8	4	8	8	4	8	6	5	4	7	4	6	6	5	8	5	5	6	8	5	5	6	8	4	5	6	7	5	6	7	6	6	5	5	6	5	6	6	6	7	6	6	5	5	6	5	8	7	6	4	5	7	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	8	4	6
r048	1049.74	1.90%	2.47%	3.33%	4.15%	7	5	5	6	6	7	5	6	6	5	7	5	6	5	5	6	7	5	6	5	7	4	8	6	6	7	5	4	6	8	7	5	6	7	5	6	5	8	5	5	6	7	5	6	4	8	6	7	5	8	6	5	4	6	8	4	6	6	5	5	6	7	7	4	5	7	5	4	6	8	5	7	6	7	5	6	6	7	5	6	5	6	4	8
