ID	AT	BBP1	BBP2	BBP3	BBP4	e0	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16	e17	e18	e19	e20	e21	e22	e23	e24	e25	e26	e27	e28	e29	e30	e31	e32	e33	e34	e35	e36	e37	e38	e39	e40	e41	e42	e43	e44	e45	e46	e47	e48	e49	e50	e51	e52	e53	e54	e55	e56	e57	e58	e59	e60	e61	e62	e63	e64	e65	e66	e67	e68	e69	e70	e71	e72	e73	e74	e75	e76	e77	e78	e79	e80	e81	e82	e83
r000	1901.33	0.53%	0.84%	0.99%	1.66%	7	5	6	7	5	7	6	5	7	6	5	5	5	6	6	5	5	7	7	7	6	5	6	6	7	6	5	5	7	6	5	7	7	5	6	6	6	6	6	7	5	6	6	5	6	7	5	6	6	6	6	6	6	6	7	6	5	5	6	6	7	6	7	5	6	6	5	6	7	5	5	6	6	7	5	5	7	6	6	6	6	7	5	5
r001	1609.87	2.10%	2.65%	3.20%	3.63%	6	5	5	5	8	6	5	7	5	7	6	5	7	7	5	8	6	4	4	4	8	6	5	7	4	8	6	6	7	5	7	5	7	7	6	4	5	5	6	5	6	6	7	6	8	4	5	6	6	5	4	7	8	7	4	8	5	5	6	7	6	5	7	6	7	5	5	8	5	5	6	7	4	7	5	5	5	7	7	4	7	6	6	5
r002	1791.51	1.06%	1.41%	1.83%	2.37%	5	6	8	5	4	5	8	5	5	7	6	6	5	7	6	4	6	7	7	7	6	6	7	4	7	6	5	6	6	6	6	5	6	6	5	7	6	7	5	5	7	7	5	7	6	4	7	7	5	6	7	5	6	4	4	7	8	7	5	5	6	6	5	5	5	6	7	7	4	7	5	7	6	5	7	8	4	7	5	6	5	6	5	7
r003	1918.68	0.41%	0.62%	0.79%	1.27%	6	5	5	5	8	6	5	6	5	7	4	5	6	7	6	8	4	6	6	6	6	6	5	6	6	6	6	6	6	6	4	6	6	4	7	7	6	5	7	6	7	6	5	7	6	5	5	6	6	6	7	5	6	6	5	6	7	5	6	5	6	7	5	6	5	7	6	6	6	6	6	5	6	5	6	7	6	5	6	6	6	6	6	6
r004	1895.66	0.50%	0.65%	1.05%	1.38%	6	5	5	5	5	6	5	7	5	6	7	5	7	6	6	5	7	5	7	5	6	7	6	5	7	6	5	7	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	5	6	6	5	5	6	6	7	5	5	6	6	6	5	6	7	7	7	4	6	7	5	6	6	6	5	8	5	7	5	6	6	8	4	5	4	7	4	6
r005	1978.63	0.19%	0.28%	0.52%	0.78%	5	7	8	5	5	5	8	4	5	6	5	7	4	6	7	5	5	8	6	8	6	7	4	5	6	6	6	7	6	5	5	7	6	5	6	7	7	4	6	7	7	5	5	7	5	6	6	5	7	5	7	5	5	5	6	5	6	6	7	5	4	6	5	7	5	6	7	5	6	7	6	6	6	5	7	6	6	6	6	6	6	4	7	7
r006	1805.07	0.95%	1.33%	1.66%	2.22%	5	7	6	5	7	5	6	5	5	7	6	7	5	7	5	7	6	6	5	6	5	6	5	7	5	5	8	6	6	6	7	5	6	7	6	5	5	5	6	5	7	5	7	7	6	5	6	5	7	6	5	7	6	7	5	5	7	6	7	4	7	8	6	4	4	8	6	5	6	6	8	5	5	6	6	7	6	5	6	5	6	7	4	6
r007	1819.09	0.87%	1.10%	1.47%	2.19%	5	6	6	6	6	5	6	5	6	6	6	6	5	6	7	6	6	4	6	4	7	5	6	7	6	7	5	5	7	5	5	7	7	5	5	7	7	6	5	7	6	6	5	6	7	5	5	6	6	5	7	5	7	7	5	7	5	5	6	8	5	4	6	6	8	4	6	7	4	7	5	7	6	6	6	5	4	7	6	6	6	5	6	7
r008	1783.60	1.14%	1.53%	1.83%	2.43%	5	6	7	5	6	5	7	6	5	5	6	6	6	5	7	6	6	5	7	5	7	4	6	7	7	7	4	4	8	6	4	5	8	4	5	7	7	6	5	5	8	5	6	8	5	6	5	5	7	6	7	6	5	7	6	6	5	5	7	5	6	8	4	6	5	8	5	6	6	6	4	6	8	4	5	5	6	6	4	8	4	6	6	6
r009	1919.62	0.46%	0.64%	0.89%	1.18%	6	6	6	6	6	6	6	5	6	7	5	6	5	7	6	6	5	5	8	5	5	7	5	8	8	5	5	7	7	4	5	7	7	5	6	6	6	5	6	7	5	6	6	5	8	5	6	6	6	4	6	6	8	8	5	6	5	6	6	6	6	7	6	5	6	7	5	6	5	7	5	8	5	6	5	5	5	8	6	5	6	6	5	7
r010	1778.37	1.22%	1.45%	1.74%	2.44%	5	5	8	4	6	5	8	5	4	8	6	5	5	8	5	6	6	5	7	5	5	7	6	7	7	5	5	7	6	5	6	6	6	6	7	4	5	6	7	6	7	5	6	7	7	4	6	5	7	5	4	6	7	7	4	8	5	6	7	6	5	6	6	6	6	6	6	8	5	5	5	7	5	6	6	5	5	7	7	5	7	5	6	5
r011	1776.39	1.05%	1.40%	1.67%	2.23%	6	5	4	6	8	6	4	7	6	7	4	5	7	7	5	8	4	7	5	7	6	5	8	4	5	6	7	5	6	6	5	7	6	5	5	7	5	8	5	7	5	5	6	5	5	7	7	5	7	6	7	6	5	4	7	5	8	7	7	6	4	6	5	7	6	6	6	5	6	7	7	5	6	5	6	8	6	5	5	6	5	4	7	7
