ID	AT	BBP1	BBP2	BBP3	BBP4	e0	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16	e17	e18	e19	e20	e21	e22	e23	e24	e25	e26	e27	e28	e29	e30	e31	e32	e33	e34	e35	e36	e37	e38	e39	e40	e41	e42	e43	e44	e45	e46	e47	e48	e49	e50	e51	e52	e53	e54	e55	e56	e57	e58	e59	e60	e61	e62	e63	e64	e65	e66	e67	e68	e69	e70	e71	e72	e73	e74	e75	e76	e77	e78	e79	e80	e81	e82	e83
r012	1952.86	0.34%	0.47%	0.65%	0.96%	6	6	5	6	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	5	8	6	4	6	5	7	8	4	6	8	4	4	8	6	6	6	6	6	4	6	7	5	6	7	6	5	7	5	6	6	5	7	4	6	6	8	5	5	7	6	5	6	6	7	5	6	6	6	6	7	4	6	6	6	8	6	4	6	6	6	6	6	6
r013	1857.34	0.60%	0.95%	1.30%	1.73%	6	6	5	7	6	6	5	6	7	5	6	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	4	8	6	6	4	6	6	5	6	6	6	6	6	7	5	6	6	5	6	7	5	8	5	5	6	6	5	7	5	6	5	7	6	5	7	6	7	5	5	7	6	5	6	6	6	7	5	5	6	6	6	6	6	6	6	5
r014	1930.64	0.36%	0.55%	0.80%	1.21%	6	6	6	6	4	6	6	6	6	4	8	6	6	4	6	4	8	6	6	6	6	7	6	5	6	6	6	7	5	5	6	6	5	6	6	6	6	6	6	6	6	5	6	6	7	5	5	5	7	5	6	6	7	5	5	6	7	5	7	6	5	6	6	5	6	6	6	6	4	8	6	6	5	6	6	7	4	6	7	5	7	5	5	8
r015	1835.90	0.81%	1.08%	1.54%	1.82%	5	6	6	7	5	5	6	7	7	6	5	6	7	6	5	5	5	7	7	7	4	7	7	5	7	4	6	7	7	4	4	8	7	4	5	8	5	7	5	8	5	6	5	5	6	7	6	6	4	4	8	5	6	5	7	6	6	6	4	6	8	5	7	6	6	5	5	6	6	4	6	7	5	7	5	6	6	7	5	5	5	8	6	4
r016	1741.28	1.21%	1.37%	1.66%	2.06%	7	5	6	7	5	7	6	5	7	5	6	5	5	5	4	5	6	7	6	7	5	6	6	6	6	5	6	6	7	5	4	7	7	4	8	5	4	6	8	7	6	6	5	6	8	6	4	6	6	5	5	5	8	6	6	5	7	4	6	4	5	6	4	6	4	6	8	5	6	7	6	5	7	4	8	7	6	5	5	7	5	5	6	7
r017	1708.22	1.62%	2.08%	2.51%	3.04%	6	6	6	5	7	6	6	6	5	6	7	6	6	6	5	7	7	5	5	5	8	5	8	4	5	8	4	5	6	6	6	6	6	6	5	7	5	8	5	6	5	7	5	5	6	7	6	7	4	6	7	5	6	4	7	7	6	6	4	8	6	5	6	6	8	5	5	7	5	6	4	6	8	6	5	6	5	6	4	8	4	6	6	6
r018	1828.35	0.81%	1.11%	1.37%	1.91%	6	6	6	5	4	6	6	6	5	6	7	6	6	6	6	4	7	7	6	7	4	5	7	6	6	4	7	5	6	7	5	7	6	5	5	8	6	7	5	7	7	6	4	7	5	6	6	6	6	7	8	4	5	6	6	5	5	6	6	4	7	6	4	5	4	6	8	5	7	6	7	6	5	4	8	5	7	6	6	5	6	7	5	6
r019	1878.53	0.55%	0.88%	1.21%	1.53%	5	5	6	6	6	5	6	7	6	6	5	5	7	6	6	6	5	6	7	6	5	5	5	7	7	5	6	5	7	5	6	5	7	6	7	4	6	5	7	5	6	6	6	6	8	5	5	6	6	5	4	6	8	7	5	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	5	6	6	6	6	6	6
r020	1713.61	1.62%	2.09%	2.75%	3.66%	5	6	5	8	5	5	5	8	8	5	5	6	8	5	5	5	5	6	6	6	7	4	7	6	6	7	5	4	7	7	5	6	7	5	6	6	5	7	6	6	8	4	6	8	4	6	6	4	5	7	6	6	4	6	6	6	5	6	5	5	8	6	6	6	5	6	6	6	8	4	5	4	5	6	6	5	8	4	7	5	7	8	6	4
r021	1812.29	0.91%	1.20%	1.51%	1.97%	5	7	7	6	5	5	7	5	6	7	5	7	5	7	5	5	5	6	8	6	6	5	6	6	8	6	4	5	6	7	5	7	6	5	7	6	5	6	7	7	6	6	5	6	6	6	6	6	6	7	6	5	6	6	6	7	5	6	6	6	6	6	6	6	6	6	6	7	5	6	4	6	8	6	6	5	5	6	4	8	4	6	6	6
r022	1796.99	1.03%	1.26%	1.64%	2.30%	5	5	7	5	6	5	7	6	5	8	5	5	6	8	5	6	5	7	6	7	7	6	5	5	6	7	5	6	4	5	7	4	4	7	6	7	5	5	6	4	6	6	8	6	4	6	6	6	6	5	7	8	4	5	6	8	5	6	6	5	7	7	6	5	5	7	6	8	6	4	5	8	5	6	6	5	6	8	5	5	5	7	5	4
r023	1697.42	1.64%	2.12%	2.62%	3.23%	6	6	7	6	5	6	7	5	6	4	8	6	5	4	8	5	8	5	6	5	6	6	6	7	6	6	6	6	7	5	5	5	7	5	4	8	8	6	4	5	8	7	4	8	5	5	4	7	5	5	8	4	5	7	5	6	6	4	5	7	8	7	6	5	7	7	4	6	8	4	6	5	7	6	4	6	8	5	5	7	5	8	5	4
r024	1945.60	0.33%	0.50%	0.74%	1.03%	6	6	7	5	6	6	7	5	5	5	6	6	5	5	8	6	6	6	6	6	6	8	5	5	6	6	5	8	5	5	6	6	5	6	5	7	8	5	5	6	7	5	6	7	6	5	6	5	7	5	7	6	6	5	5	6	6	6	7	4	7	7	5	5	4	7	7	6	6	6	5	7	6	5	7	6	6	7	5	6	5	7	5	6
r025	1849.19	0.80%	1.00%	1.38%	1.76%	6	6	8	4	6	6	8	4	4	8	6	6	4	8	6	6	6	6	4	6	7	6	7	4	4	7	7	6	5	7	8	4	5	8	5	5	6	7	5	4	6	7	7	6	4	7	7	7	5	7	5	7	4	4	7	4	7	7	5	6	6	6	7	5	6	6	5	4	7	7	7	4	6	7	5	7	7	4	6	6	6	6	5	7
r026	1726.84	1.36%	1.64%	2.10%	2.64%	5	5	8	5	5	5	8	5	5	7	6	5	5	7	7	5	6	7	6	7	5	5	7	6	6	5	7	5	7	6	6	6	7	6	4	6	7	7	4	6	6	6	6	6	5	7	6	6	6	6	6	6	5	6	7	6	5	6	6	4	8	6	6	6	4	6	6	6	8	4	7	4	6	6	6	5	8	4	6	6	6	8	6	4
r027	1840.69	0.76%	1.09%	1.35%	1.79%	7	5	5	7	6	7	5	6	7	6	5	5	6	6	6	6	5	4	6	4	7	7	6	6	6	7	5	7	6	4	6	6	6	6	5	7	6	6	5	6	6	6	6	6	7	5	6	6	6	4	7	6	7	6	5	5	8	6	6	7	5	6	6	6	7	6	5	5	6	7	5	5	7	6	5	8	6	5	5	7	5	5	6	7
r028	1902.47	0.57%	0.75%	0.98%	1.28%	5	6	6	6	6	5	6	7	6	6	5	6	7	6	5	6	5	8	5	8	5	6	5	6	5	5	7	6	5	6	5	5	5	5	7	7	5	5	7	5	7	5	7	7	4	7	6	5	7	6	7	7	4	6	7	5	5	6	7	6	5	6	5	7	6	6	6	5	5	6	7	6	4	5	6	5	5	6	8	4	8	5	7	6
r029	1786.52	1.08%	1.44%	1.85%	2.44%	5	7	5	8	5	5	5	6	8	6	4	7	6	6	5	5	4	5	6	5	7	6	7	5	6	7	5	6	6	6	5	6	6	5	6	7	5	7	6	6	7	5	6	7	5	7	5	5	7	6	7	6	5	5	7	6	6	5	7	6	6	7	6	5	6	7	5	6	8	4	5	5	7	6	5	6	8	5	5	7	5	6	5	4
r030	1855.23	0.71%	0.97%	1.37%	1.97%	6	6	6	7	5	6	6	5	7	6	5	6	5	6	7	5	5	7	7	7	7	6	5	5	7	7	4	6	6	6	6	6	6	6	5	6	7	5	5	6	7	4	6	7	6	6	5	4	8	6	6	6	6	5	6	4	8	5	8	5	5	6	5	7	5	6	7	4	7	6	4	4	7	5	7	8	7	4	5	7	5	5	7	6
r031	1837.50	0.77%	1.02%	1.32%	1.81%	6	6	6	6	6	6	6	5	6	7	5	6	5	7	6	6	5	6	7	6	6	5	7	6	7	6	5	5	6	7	6	6	6	6	5	6	6	7	5	6	6	6	5	6	6	6	6	6	6	7	6	5	6	6	6	5	6	6	6	8	4	5	7	6	8	5	5	5	6	7	5	7	6	7	5	6	6	7	5	6	5	4	6	7
r032	1545.49	2.53%	2.93%	3.44%	3.79%	5	7	5	5	8	5	5	8	5	5	7	7	8	5	4	8	7	5	4	5	6	6	7	6	4	6	6	6	5	6	6	6	5	6	6	7	4	7	6	6	7	6	5	7	6	5	6	6	6	6	7	5	6	6	5	6	6	6	6	6	6	4	7	7	6	4	5	6	8	4	6	5	6	7	5	6	8	5	5	6	5	6	7	4
r033	1811.63	0.92%	1.19%	1.48%	1.76%	6	6	6	6	4	6	6	6	6	6	6	6	6	6	5	4	6	5	7	5	4	8	5	8	7	4	7	8	4	6	5	7	4	5	7	7	5	5	7	7	6	7	4	6	7	4	7	7	5	6	7	4	7	8	4	5	7	7	5	6	6	6	7	5	6	6	5	5	6	7	7	4	7	7	5	7	6	4	5	7	5	6	5	7
r034	1697.93	1.72%	2.27%	2.70%	3.54%	6	6	5	7	6	6	5	6	7	6	5	6	6	6	6	6	5	7	6	7	7	5	5	6	6	7	5	5	7	6	4	8	7	4	7	5	6	5	7	8	7	4	5	7	8	4	5	4	7	6	5	5	8	6	4	8	6	5	7	7	5	5	5	8	7	5	6	8	5	4	5	7	6	5	6	6	5	7	6	6	6	5	8	4
r035	1809.38	0.98%	1.19%	1.49%	1.85%	5	6	6	6	6	5	6	7	6	6	6	6	7	6	5	6	6	5	6	5	5	7	7	6	6	5	7	7	5	4	6	5	5	6	5	8	5	7	5	5	6	6	7	6	5	7	5	6	5	4	8	7	5	6	7	6	5	5	5	7	7	4	6	6	7	4	6	6	7	5	7	6	5	6	6	5	7	6	6	5	6	7	6	5
r036	1692.68	1.37%	1.56%	1.98%	2.30%	4	8	7	6	5	4	7	6	6	6	6	8	6	6	4	5	6	6	7	6	5	7	6	6	7	5	4	7	7	4	5	6	7	5	7	5	4	6	7	6	6	5	7	6	6	6	6	5	7	4	5	7	6	6	6	6	5	6	7	5	6	6	6	6	5	6	6	6	6	6	4	7	7	6	6	5	6	7	5	7	5	6	6	6
r037	1857.10	0.63%	0.95%	1.29%	1.62%	8	4	5	7	5	8	5	5	7	4	7	4	5	4	6	5	7	5	7	5	5	6	5	8	7	5	6	6	5	6	5	6	5	5	7	7	6	5	7	6	8	6	4	8	7	4	5	6	6	6	7	4	7	8	4	5	6	5	6	6	7	7	6	5	6	7	5	5	7	6	6	6	6	6	5	6	7	6	5	6	5	7	5	6
r038	1701.72	1.60%	2.06%	2.58%	3.49%	6	5	7	5	6	6	7	5	5	6	6	5	5	6	8	6	6	7	5	7	5	4	5	8	5	5	6	4	8	6	6	6	8	6	5	4	8	5	5	6	6	6	6	6	8	6	4	6	5	6	4	6	8	8	6	5	5	4	5	8	7	6	6	6	8	6	4	5	7	4	6	6	6	6	4	5	7	6	6	6	6	7	6	4
r039	1884.82	0.46%	0.77%	1.14%	1.37%	6	6	5	5	8	6	5	6	5	6	5	6	6	6	6	8	5	7	4	7	5	6	6	6	4	5	8	6	6	5	6	6	6	6	6	6	6	6	6	6	6	5	7	6	6	6	6	5	7	5	6	7	6	6	6	5	7	6	7	4	7	8	6	4	4	8	6	5	6	7	8	5	5	6	6	7	6	5	6	5	6	7	4	7
r040	1894.83	0.51%	0.68%	1.02%	1.36%	7	5	5	5	8	7	5	6	5	5	6	5	6	5	6	8	6	6	4	6	6	6	5	7	4	6	6	6	5	6	7	5	5	7	6	6	6	5	6	5	5	7	5	5	6	7	6	7	5	6	6	5	6	7	7	4	5	6	5	6	5	6	6	6	6	6	6	4	5	7	6	6	6	6	6	5	5	6	6	6	6	5	6	7
r041	1927.21	0.30%	0.54%	0.85%	1.21%	6	5	6	5	7	6	6	6	5	5	6	5	6	5	8	7	6	6	5	6	5	5	4	8	5	5	8	5	7	6	6	5	7	6	6	5	8	4	6	5	7	6	6	7	5	5	7	6	6	6	5	6	5	8	5	4	7	7	6	5	5	6	5	6	5	6	7	4	7	7	8	5	5	5	7	7	7	5	5	5	5	5	6	7
r042	1933.54	0.24%	0.52%	0.74%	1.18%	6	6	7	6	5	6	7	5	6	6	6	6	5	6	7	5	6	7	6	7	6	5	5	7	6	6	4	5	6	7	6	6	6	6	6	5	7	5	6	6	4	5	4	4	8	6	6	5	7	7	5	4	8	7	6	4	5	6	7	6	5	6	7	5	6	6	5	4	6	8	4	8	6	7	5	5	6	8	5	6	5	5	5	8
r043	1751.75	1.21%	1.72%	2.08%	2.64%	6	5	5	7	6	6	5	7	7	6	4	5	7	6	6	6	4	7	7	7	5	5	7	6	7	5	6	5	8	4	5	6	8	5	5	6	6	7	5	6	5	6	7	5	7	5	7	6	6	4	6	7	7	6	5	7	6	7	6	6	5	6	5	7	6	6	6	7	6	5	6	7	5	5	6	6	6	7	5	5	5	5	7	5
r044	1782.14	1.21%	1.51%	1.72%	2.11%	6	5	6	5	7	6	6	6	5	7	6	5	6	7	5	7	6	4	6	4	5	7	8	6	6	5	6	7	7	4	6	6	7	6	5	6	5	8	5	6	6	6	6	6	6	7	5	6	6	4	6	6	6	6	7	5	5	5	6	6	6	7	6	5	6	7	5	5	6	7	6	6	5	6	5	5	6	6	7	5	7	6	5	7
r045	1860.24	0.66%	0.93%	1.27%	1.64%	6	6	6	7	5	6	6	5	7	7	4	6	5	7	6	5	4	6	6	6	6	5	6	7	6	6	6	5	7	4	7	5	7	7	5	5	6	6	5	5	6	5	8	6	7	7	4	5	7	4	5	8	7	7	7	4	6	4	7	6	7	7	7	4	6	7	5	4	7	7	6	6	6	7	5	6	7	6	5	6	5	7	4	7
r046	1711.99	1.51%	1.89%	2.22%	2.75%	6	6	6	6	6	6	6	5	6	7	4	6	5	7	6	6	4	7	7	7	6	6	5	6	7	6	5	6	7	5	6	6	7	6	4	6	6	5	4	6	6	6	6	6	7	4	6	6	6	5	6	6	7	6	4	7	5	6	6	5	6	6	5	6	5	6	7	7	5	6	5	7	6	5	7	5	5	7	6	6	6	6	6	6
r047	1863.83	0.66%	0.90%	1.20%	1.67%	7	5	6	6	4	7	6	5	6	4	8	5	5	4	8	4	8	8	4	8	6	5	4	7	4	6	6	5	8	5	5	6	8	5	5	6	8	4	5	6	7	5	6	7	6	6	5	5	6	5	6	6	6	7	6	6	5	5	6	5	8	7	6	4	5	7	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	8	4	6
r048	1738.79	1.29%	1.65%	1.96%	2.43%	7	5	5	6	6	7	5	6	6	5	7	5	6	5	5	6	7	5	6	5	7	4	8	6	6	7	5	4	6	8	7	5	6	7	5	6	5	8	5	5	6	7	5	6	4	8	6	7	5	8	6	5	4	6	8	4	6	6	5	5	6	7	7	4	5	7	5	4	6	8	5	7	6	7	5	6	6	7	5	6	5	6	4	8
r049	1696.08	1.45%	1.65%	1.92%	2.28%	5	7	5	6	6	5	5	8	6	5	7	7	8	5	4	6	7	6	5	6	6	6	6	6	5	6	6	6	5	5	6	6	5	6	8	5	4	6	8	6	5	6	7	5	6	7	6	6	5	5	5	7	6	6	7	5	5	6	5	6	6	5	5	5	6	5	7	5	5	7	6	6	4	5	7	5	5	6	8	4	8	6	5	7
r050	1751.69	1.27%	1.65%	2.11%	2.64%	6	6	6	6	6	6	6	6	6	5	6	6	6	5	7	6	6	6	6	6	4	7	6	7	6	4	7	7	5	4	8	4	5	8	4	7	7	6	4	4	5	7	8	5	5	4	8	7	5	4	7	8	5	7	4	7	6	8	5	5	6	6	6	6	5	6	6	7	6	5	7	6	5	6	6	6	6	6	6	5	6	6	6	5
r051	1854.44	0.73%	0.97%	1.28%	1.64%	5	6	7	5	6	5	7	6	5	7	6	6	6	7	5	6	6	6	6	6	5	7	7	5	6	5	7	7	6	5	6	5	6	6	5	6	5	7	5	5	5	7	7	5	5	7	7	7	5	5	6	7	5	5	7	5	6	7	5	5	7	7	5	6	5	7	6	5	7	5	7	5	6	5	6	6	7	5	6	6	6	7	6	5
r052	1676.04	1.53%	1.74%	2.02%	2.42%	7	5	5	7	5	7	5	6	7	7	4	5	6	7	4	5	4	6	8	6	5	8	7	4	8	5	5	8	4	6	5	7	4	5	6	7	4	7	6	7	6	6	4	6	7	6	5	6	6	6	7	4	7	4	6	6	7	5	6	5	4	8	5	5	5	8	5	6	6	6	5	6	6	5	5	7	6	6	5	6	5	4	5	6
r053	1878.23	0.68%	0.94%	1.18%	1.52%	7	5	6	6	6	7	6	5	6	5	7	5	5	5	8	6	7	5	6	5	6	5	5	8	6	6	6	5	7	6	5	6	7	5	5	6	8	5	5	6	5	7	6	5	6	5	7	7	5	6	6	6	6	8	5	4	7	7	5	6	6	6	7	4	6	6	5	4	5	8	6	6	6	7	5	7	5	6	6	6	6	6	4	8
r054	1750.35	1.20%	1.68%	2.07%	2.54%	7	4	5	7	6	7	5	6	7	7	4	4	6	7	6	6	4	5	7	5	6	4	7	8	7	6	5	4	6	8	5	6	6	5	5	5	6	7	5	6	7	5	6	7	5	5	6	5	7	8	5	6	5	8	5	5	5	6	7	6	5	6	6	6	6	6	6	5	5	7	5	8	5	6	6	5	5	8	6	5	6	5	6	7
r055	1873.88	0.66%	0.87%	1.14%	1.62%	4	7	7	6	5	4	7	6	6	5	7	7	6	5	6	5	7	5	5	5	7	6	6	6	5	7	6	6	6	6	5	7	6	5	6	7	6	6	6	7	6	4	6	6	5	5	7	4	8	6	7	6	5	6	5	5	7	7	8	5	4	5	6	7	5	5	6	5	6	7	6	5	6	6	6	7	6	5	6	6	6	4	7	7
r056	1930.40	0.34%	0.58%	0.85%	1.10%	4	5	6	6	6	4	6	8	6	4	8	5	8	4	7	6	8	5	4	5	8	7	5	5	4	8	6	7	5	6	7	5	5	7	6	6	7	5	6	5	6	6	7	6	5	7	6	6	6	6	6	7	5	5	7	5	7	6	6	5	5	7	5	6	5	7	6	5	6	7	6	5	6	5	6	7	6	5	5	6	5	5	6	7
r057	1819.48	0.86%	1.07%	1.47%	1.85%	5	6	5	7	5	5	5	8	7	4	7	6	8	4	6	5	7	5	7	5	5	6	7	7	7	5	6	6	6	6	6	6	6	6	4	7	6	7	4	6	5	8	5	5	6	6	7	8	4	6	7	5	6	7	6	5	6	7	4	6	6	7	6	5	6	7	5	5	6	7	6	5	5	6	5	6	6	5	7	5	7	6	5	7
r058	1902.34	0.46%	0.69%	0.98%	1.40%	7	5	6	7	5	7	6	5	7	6	5	5	5	6	7	5	5	6	7	6	6	7	5	6	7	6	5	7	6	5	5	6	6	5	5	8	7	5	5	6	7	5	6	7	5	4	7	5	7	5	8	6	5	6	4	6	6	7	7	5	5	6	5	6	5	6	7	6	5	7	5	7	6	5	7	6	5	7	6	6	6	5	6	7
r059	1776.34	1.18%	1.55%	1.84%	2.36%	5	7	6	4	8	5	6	6	4	6	5	7	6	6	5	8	5	6	5	6	6	4	7	7	5	6	6	4	7	7	5	6	7	5	6	6	5	7	6	6	5	7	6	5	5	6	8	7	5	7	6	6	5	7	6	5	6	8	5	6	5	6	5	7	6	6	6	5	6	6	6	6	6	5	6	6	6	6	6	6	6	5	7	6
r060	1874.48	0.61%	0.95%	1.23%	1.65%	5	6	7	5	6	5	7	6	5	4	6	6	6	4	8	6	6	7	5	7	8	7	4	4	5	8	4	7	6	5	7	5	6	7	5	6	8	4	5	5	7	6	6	7	5	6	6	6	6	5	6	6	5	4	6	6	5	6	6	6	6	5	5	5	6	5	7	6	5	7	4	8	6	5	7	5	5	8	6	6	6	6	5	7
r061	1744.47	1.36%	1.69%	2.28%	2.83%	5	7	8	6	4	5	8	5	6	5	7	7	5	5	6	4	7	5	8	5	5	5	7	7	8	5	5	5	8	5	5	6	8	5	5	6	6	7	5	6	8	4	6	8	6	5	5	4	6	5	6	6	6	7	5	5	7	5	6	6	7	5	5	6	6	5	7	5	4	5	5	8	5	5	7	7	4	8	5	5	5	7	6	5
r062	1826.99	0.87%	1.23%	1.61%	2.15%	5	5	8	4	6	5	8	5	4	8	4	5	5	8	6	6	4	5	8	5	6	6	7	6	8	6	4	6	6	6	6	5	6	6	5	7	6	7	5	5	8	5	6	8	5	5	6	5	6	6	7	6	5	6	5	5	6	6	6	5	7	6	8	4	5	6	4	5	7	6	4	6	7	8	4	6	7	6	5	7	5	7	4	6
r063	1874.19	0.49%	0.79%	1.18%	1.72%	7	5	5	6	7	7	5	6	6	5	6	5	6	5	8	7	6	5	6	5	8	6	4	4	6	8	4	6	4	8	7	5	4	7	6	6	8	4	6	5	7	5	6	7	4	7	6	5	7	8	6	6	4	4	7	5	8	6	7	5	5	6	6	6	5	6	6	5	5	7	4	6	7	6	6	8	5	6	5	7	5	5	6	7
r064	1875.60	0.60%	0.87%	1.16%	1.58%	6	5	6	6	6	6	6	6	6	4	7	5	6	4	7	6	7	5	6	5	4	5	6	6	6	4	7	5	7	5	6	6	7	6	5	6	7	6	5	6	5	5	6	5	7	6	5	5	6	5	6	6	7	6	6	4	8	5	6	7	6	6	6	4	7	6	5	4	6	8	7	5	6	6	5	8	6	5	5	6	5	6	4	8
r065	1683.96	1.73%	2.30%	2.63%	3.38%	6	5	8	4	6	6	8	4	4	8	6	5	4	8	5	6	6	5	4	5	6	5	5	7	4	6	8	5	7	6	4	6	7	4	8	5	5	5	8	6	7	5	6	7	6	5	6	5	6	6	5	6	6	7	5	5	7	6	6	4	8	7	5	6	4	7	7	5	7	4	8	5	5	5	7	7	7	5	5	5	5	8	6	4
r066	1666.06	1.59%	1.85%	2.20%	2.47%	6	6	6	5	6	6	6	6	5	8	5	6	6	8	4	6	5	5	7	5	5	6	8	6	7	5	6	6	5	6	5	7	5	5	6	8	4	8	6	7	4	8	5	4	5	7	7	8	4	6	8	5	5	6	7	6	5	7	4	7	6	5	6	6	7	5	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	6	6	6
r067	1880.89	0.60%	0.92%	1.19%	1.73%	7	5	5	7	6	7	5	4	7	7	4	5	4	7	7	6	4	6	6	6	7	4	5	8	6	7	5	4	6	8	7	5	6	7	6	5	7	5	6	5	8	5	6	8	4	6	6	5	6	8	5	6	4	8	6	5	5	6	6	6	6	7	5	6	6	7	5	5	5	6	5	7	5	5	5	5	5	7	7	5	7	6	6	6
