ID	AT	BBP1	BBP2	BBP3	BBP4	e0	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16	e17	e18	e19	e20	e21	e22	e23	e24	e25	e26	e27	e28	e29	e30	e31	e32	e33	e34	e35	e36	e37	e38	e39	e40	e41	e42	e43	e44	e45	e46	e47	e48	e49	e50	e51	e52	e53	e54	e55	e56	e57	e58	e59	e60	e61	e62	e63	e64	e65	e66	e67	e68	e69	e70	e71	e72	e73	e74	e75	e76	e77	e78	e79	e80	e81	e82	e83
r000	1798.00	0.44%	0.70%	1.02%	1.46%	7	5	5	7	7	6	5	4	7	6	4	5	6	5	7	6	6	5	6	5	6	5	5	7	5	5	7	4	7	5	7	6	3	6	7	3	7	6	7	7	6	4	5	6	4	7	4	6	5	6	6	5	6	5	4	7	5	4	7	5	5	5	5	7	5	7	5	5	5	6	4	6	7	4	7	6	5	6	6	6	6	6
r001	1797.65	0.30%	0.57%	1.02%	1.62%	6	4	7	6	7	4	4	5	7	6	4	4	6	5	7	4	5	6	5	5	7	4	5	7	5	5	7	4	7	5	7	7	6	4	7	6	5	4	7	5	5	6	6	4	5	6	5	7	5	4	7	5	5	5	7	6	6	5	6	6	6	7	4	7	4	6	6	5	6	4	7	4	5	6	5	6	6	5	6	6	5	6
r002	1718.15	0.83%	1.53%	2.19%	3.23%	5	6	6	5	5	6	5	6	5	5	7	6	5	6	7	6	6	5	6	6	5	5	6	6	6	5	6	7	6	5	6	5	5	5	6	5	7	5	6	7	4	5	5	5	6	6	6	5	6	5	5	7	4	7	6	6	5	6	6	5	5	6	4	7	4	6	6	6	6	4	6	4	7	5	7	5	5	7	5	4	7	4
r003	1744.14	0.58%	1.07%	1.62%	2.51%	6	6	5	6	5	6	5	6	5	7	5	6	7	6	5	6	5	6	5	5	6	5	5	7	6	5	5	5	7	5	7	6	5	5	7	5	7	5	5	7	6	6	4	5	5	7	5	6	6	5	6	5	6	5	6	6	6	6	6	6	6	5	7	5	7	7	4	6	4	7	6	7	4	6	4	7	4	7	7	5	7	5
r004	1747.15	0.49%	1.04%	1.87%	2.92%	4	7	6	4	7	5	7	6	7	6	4	7	6	5	6	5	5	7	5	6	5	7	6	4	5	6	6	4	4	6	7	5	7	5	7	7	5	5	6	5	4	6	7	5	5	6	5	6	5	5	6	6	4	6	6	5	5	6	5	7	5	6	6	6	6	6	5	5	5	6	6	6	5	6	5	6	7	5	6	6	5	6
r005	1654.98	1.47%	2.17%	2.94%	4.02%	6	5	6	6	6	5	3	6	6	4	7	5	4	6	6	5	7	5	7	5	5	3	5	5	6	6	5	7	5	6	6	5	7	5	6	7	5	6	5	5	7	5	6	5	7	5	7	5	5	6	5	5	7	5	5	6	5	6	6	5	5	6	6	6	6	5	5	5	5	6	5	6	6	5	6	6	6	6	6	6	6	6
r006	1721.33	0.84%	1.55%	2.31%	3.26%	7	6	4	7	5	4	7	6	5	6	6	6	6	6	6	4	5	7	5	5	5	7	5	5	6	6	5	6	5	6	7	5	5	7	7	5	6	6	5	6	5	6	5	7	5	5	5	5	7	6	5	5	5	5	7	6	5	6	6	7	5	4	6	6	6	5	6	7	6	4	7	4	6	6	6	5	5	6	5	5	6	5
r007	1811.25	0.25%	0.46%	0.80%	1.53%	5	5	7	5	6	7	5	6	6	4	7	5	4	7	7	7	5	5	5	6	6	5	6	6	7	4	6	7	6	4	7	6	6	5	7	6	5	5	6	5	3	7	6	5	7	5	7	5	5	5	5	6	3	6	7	5	7	6	5	5	7	7	4	7	4	5	6	5	6	5	7	5	5	7	5	5	6	6	5	6	6	6
r008	1653.42	1.38%	2.20%	3.04%	4.05%	6	6	5	6	5	5	5	7	5	5	7	6	5	5	7	5	5	6	5	7	5	5	7	5	5	5	5	7	5	5	6	5	5	6	6	5	7	6	5	7	5	6	6	6	5	5	5	5	5	6	5	6	5	6	4	5	6	7	5	6	6	5	5	7	5	5	7	5	7	5	4	5	5	6	5	6	6	6	6	6	6	6
r009	1830.82	0.19%	0.37%	0.58%	1.21%	5	6	6	5	7	5	5	6	7	5	5	6	5	6	6	5	5	5	5	6	6	5	6	6	6	4	7	5	6	4	7	6	6	5	7	6	7	4	7	7	5	5	5	5	5	7	5	4	7	4	4	6	5	6	5	5	7	6	5	5	7	6	6	6	6	7	5	7	5	5	5	5	7	5	7	5	5	7	5	5	7	5
