5,5,7,6,5,5,7,6,6,5,7,5,6,5,8,5,7,6,6,6,6,7,4,7,6,6,6,7,5,6,6,6,5,6,6,6,8,4,6,6,6,7,5,6,5,7,6,7,4,6,6,5,5,7,7,4,5,6,4,7,6,7,7,4,7,7,4,4,6,8,6,6,6,7,4,5,6,6,5,6,5,6,4,8,2131
7,5,5,7,6,7,5,6,7,5,6,5,6,5,8,6,6,7,5,7,6,8,4,5,5,6,7,8,6,4,5,7,6,5,6,7,8,4,6,7,5,4,7,5,6,7,6,4,7,4,7,7,6,5,7,5,5,6,7,5,6,7,6,4,5,7,6,5,4,8,7,7,4,6,6,5,4,7,8,4,8,6,4,8,2119
6,6,6,7,5,6,6,6,7,4,7,6,6,4,8,5,7,6,6,6,6,8,4,6,6,6,6,8,6,4,6,6,6,6,6,6,8,4,6,6,5,6,7,5,6,8,5,6,6,4,6,7,6,6,8,4,6,5,6,5,6,7,6,5,5,7,6,4,7,7,6,5,7,6,6,6,7,5,5,7,5,6,5,7,2118
6,6,5,6,7,6,5,5,6,5,5,6,5,5,8,7,5,6,6,6,5,8,4,6,6,5,7,8,5,5,5,7,5,5,6,6,8,4,6,7,5,4,8,5,5,7,5,4,8,5,6,8,5,6,7,4,7,5,8,5,6,7,6,5,5,7,6,4,6,7,7,5,6,6,6,7,6,5,6,6,6,6,5,7,2110
6,6,7,6,4,6,7,5,6,6,6,6,5,6,7,4,6,7,7,7,5,8,4,6,7,5,5,8,6,4,6,6,6,6,7,5,7,4,7,6,5,7,6,5,5,8,6,7,5,4,5,6,5,6,8,4,6,6,5,7,6,5,6,5,7,5,6,4,7,7,5,6,7,6,6,6,7,6,5,7,5,6,5,7,2108
7,5,5,7,6,7,5,5,7,5,6,5,5,5,8,6,6,5,6,5,6,7,4,6,6,6,6,7,4,7,6,6,4,6,6,8,8,4,6,6,5,5,4,5,5,8,6,5,7,7,8,4,5,6,8,4,6,6,7,7,4,5,7,6,7,5,5,4,6,8,6,5,6,7,5,6,6,5,6,6,6,4,6,8,2103
7,5,6,7,4,7,6,5,7,5,6,5,5,5,7,4,6,8,6,8,5,8,4,4,6,5,7,8,5,5,5,7,5,5,7,7,7,4,7,7,4,7,6,4,6,6,7,7,5,5,7,6,6,4,6,6,8,7,5,6,5,6,6,5,6,6,6,6,4,8,7,6,5,6,6,8,4,6,6,5,6,5,5,8,2099
6,5,6,6,6,6,6,6,6,6,6,5,6,6,7,6,6,6,6,6,6,8,4,6,6,6,5,8,5,5,4,7,5,4,7,8,7,4,7,7,4,6,6,4,5,8,7,6,6,5,8,6,5,6,8,6,4,7,6,7,4,5,6,7,7,5,6,6,5,7,5,8,5,6,6,4,5,8,7,5,7,4,7,7,2095
7,5,5,7,6,7,5,4,7,7,4,5,4,7,8,6,4,7,6,7,6,8,4,5,6,6,6,8,4,6,6,6,4,6,6,6,8,4,6,6,5,6,6,5,6,7,5,6,6,6,6,6,6,5,7,5,7,5,6,7,6,5,6,5,7,5,6,5,6,7,6,5,7,6,6,7,6,5,4,7,4,6,5,7,2094
6,6,5,7,6,6,5,4,7,7,4,6,4,7,7,6,4,5,8,5,4,8,4,8,8,4,6,8,5,5,5,7,5,5,7,6,7,4,7,7,5,5,7,5,6,7,6,5,7,5,6,7,6,8,7,4,5,6,7,5,5,7,6,5,5,7,6,4,6,8,6,5,7,6,6,5,6,5,5,7,5,5,5,8,2092
